model_family,benchmark_id,input_scope,num_runs,num_expected_cases,num_findings,tp_cases,partial_cases,fn_cases,tp_findings,partial_findings,fp_findings,precision,recall,partial_rate,fp_rate,fn_rate,wrong_localization_count,localization_error_rate,evidence_failure_count,evidence_failure_rate,insufficient_evidence_count,fabricated_evidence_count,unsupported_claim_count,overconfidence_count,overconfidence_rate
deepseek_v4_pro,hackatdac18,h18_debug_jtag_scope,3,12,3,0,3,9,0,3,0,,0.000000,0.250000,0.000000,0.750000,3,1.000000,3,1.000000,3,0,0,3,1.000000
deepseek_v4_pro,hackatdac18,h18_fc_core_security_scope,3,9,12,0,8,1,0,9,3,0.000000,0.000000,0.888889,0.250000,0.111111,10,0.833333,12,1.000000,11,0,1,12,1.000000
deepseek_v4_pro,hackatdac18,h18_gpio_apb_scope,3,15,6,3,0,12,3,0,3,0.500000,0.200000,0.000000,0.500000,0.800000,3,0.500000,3,0.500000,3,0,0,3,0.500000
deepseek_v4_pro,hackatdac19,h19_access_control_fabric_scope,3,6,9,2,0,4,2,0,7,0.222222,0.333333,0.000000,0.777778,0.666667,7,0.777778,7,0.777778,7,0,0,7,0.777778
deepseek_v4_pro,hackatdac19,h19_aes_rom2_security_scope,3,21,8,7,0,14,7,0,0,1.000000,0.333333,0.000000,0.000000,0.666667,0,0.000000,0,0.000000,0,0,0,0,0.000000
deepseek_v4_pro,hackatdac19,h19_csr_privilege_scope,3,12,7,6,0,6,6,0,1,0.857143,0.500000,0.000000,0.142857,0.500000,1,0.142857,1,0.142857,1,0,0,1,0.142857
deepseek_v4_pro,hackatdac19,h19_debug_jtag_scope,3,24,13,5,2,17,5,2,6,0.454545,0.208333,0.083333,0.461538,0.708333,8,0.615385,8,0.615385,8,0,0,8,0.615385
deepseek_v4_pro,hackatdac21,h21_access_lock_scope,3,21,15,5,1,15,5,1,9,0.357143,0.238095,0.047619,0.600000,0.714286,10,0.666667,8,0.533333,8,0,0,8,0.533333
deepseek_v4_pro,hackatdac21,h21_crypto_security_scope,3,36,11,4,1,31,2,1,8,0.200000,0.111111,0.027778,0.727273,0.861111,9,0.818182,8,0.727273,8,0,0,8,0.727273
deepseek_v4_pro,hackatdac21,h21_dma_pkt_scope,3,9,14,4,0,5,4,0,10,0.285714,0.444444,0.000000,0.714286,0.555556,10,0.714286,9,0.642857,9,0,0,9,0.642857
gpt_5_5,hackatdac18,h18_debug_jtag_scope,3,12,4,2,1,9,2,1,1,0.666667,0.166667,0.083333,0.250000,0.750000,2,0.500000,2,0.500000,2,0,0,1,0.250000
gpt_5_5,hackatdac18,h18_fc_core_security_scope,3,9,7,5,0,4,5,0,2,0.714286,0.555556,0.000000,0.285714,0.444444,2,0.285714,2,0.285714,2,0,0,0,0.000000
gpt_5_5,hackatdac18,h18_gpio_apb_scope,3,15,4,2,3,10,2,1,1,0.666667,0.133333,0.200000,0.250000,0.666667,1,0.250000,2,0.500000,2,0,0,2,0.500000
gpt_5_5,hackatdac19,h19_access_control_fabric_scope,3,6,7,3,0,3,3,0,4,0.428571,0.500000,0.000000,0.571429,0.500000,4,0.571429,4,0.571429,4,0,0,4,0.571429
gpt_5_5,hackatdac19,h19_aes_rom2_security_scope,3,21,8,7,0,14,7,0,1,0.875000,0.333333,0.000000,0.125000,0.666667,1,0.125000,0,0.000000,0,0,0,0,0.000000
gpt_5_5,hackatdac19,h19_csr_privilege_scope,3,12,6,6,0,6,6,0,0,1.000000,0.500000,0.000000,0.000000,0.500000,0,0.000000,0,0.000000,0,0,0,0,0.000000
gpt_5_5,hackatdac19,h19_debug_jtag_scope,3,24,10,7,1,16,7,1,2,0.777778,0.291667,0.041667,0.200000,0.666667,2,0.200000,3,0.300000,3,0,0,3,0.300000
gpt_5_5,hackatdac21,h21_access_lock_scope,3,21,10,6,0,15,6,0,4,0.600000,0.285714,0.000000,0.400000,0.714286,4,0.400000,1,0.100000,1,0,0,1,0.100000
gpt_5_5,hackatdac21,h21_crypto_security_scope,3,36,8,2,2,32,2,0,6,0.250000,0.055556,0.055556,0.750000,0.888889,6,0.750000,4,0.500000,4,0,0,4,0.500000
gpt_5_5,hackatdac21,h21_dma_pkt_scope,3,9,10,1,3,5,1,3,6,0.142857,0.111111,0.333333,0.600000,0.555556,9,0.900000,9,0.900000,9,0,0,9,0.900000
